Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,log_fare
0,3,male,22,1,0,S,1.9811393903894556
1,1,female,38,1,0,C,4.266676106820038
1,3,female,26,0,0,S,2.0701484947682434
1,1,female,35,1,0,S,3.9721957604622795
0,3,male,35,0,0,S,2.085796307317844
0,3,male,NA,0,0,Q,2.1352664278780127
0,1,male,54,0,0,S,3.9486152672277353
0,3,male,2,3,1,S,3.0481349523470396
1,3,female,27,0,2,S,2.4100304338926613
1,2,female,14,1,0,C,3.403587855534786
1,3,female,4,1,1,S,2.8154685978694802
1,1,female,58,0,0,S,3.279067411762075
0,3,male,20,0,0,S,2.085796307317844
0,3,male,39,1,5,S,3.4428510302622675
0,3,female,14,0,0,S,2.061175732872943
1,2,female,55,0,0,S,2.7726512202867375
0,3,male,2,4,1,Q,3.3716312460603888
1,2,male,NA,0,0,S,2.5650262775800314
0,3,female,31,1,0,S,2.8904273119085677
1,3,female,NA,0,0,C,1.9776856327254484
0,2,male,35,0,0,S,3.2581349988203177
1,2,male,34,0,0,S,2.5650262775800314
1,3,female,15,0,0,Q,2.083209434248755
1,1,male,28,0,0,S,3.5695608650987154
0,3,female,8,3,1,S,3.0481349523470396
1,3,female,38,1,5,S,3.4464415837929963
0,3,male,NA,0,0,C,1.9776856327254484
0,1,male,19,3,2,S,5.572157834451905
1,3,female,NA,0,0,Q,2.0643532842583627
0,3,male,NA,0,0,S,2.0664576141215414
0,1,male,40,0,0,C,3.3222191072784475
1,1,female,NA,1,0,C,4.987174222847439
1,3,female,NA,0,0,Q,2.0478218672993744
0,2,male,66,0,0,S,2.351470490723856
0,1,male,28,1,0,C,4.4088121775082065
0,1,male,42,1,0,S,3.9512629491657494
1,3,male,NA,0,0,C,1.978266698305362
0,3,male,21,0,0,S,2.085796307317844
0,3,female,18,2,0,S,2.8904273119085677
1,3,female,14,1,0,C,2.4197190291420276
0,3,female,40,1,0,S,2.248762286296539
0,2,female,27,1,0,S,3.0445700556372914
0,3,male,NA,0,0,C,2.0664576141215414
1,2,female,3,1,2,C,3.7276240924231088
1,3,female,19,0,0,Q,2.0643532842583627
0,3,male,NA,0,0,S,2.085796307317844
0,3,male,NA,1,0,Q,2.740904537973157
1,3,female,NA,0,0,Q,2.0478218672993744
0,3,male,NA,2,0,C,3.0763994016211456
0,3,female,18,1,0,S,2.879254635495296
0,3,male,7,4,1,S,3.681061473185869
0,3,male,21,0,0,S,2.054251930606176
1,1,female,49,1,0,C,4.3402953727285984
1,2,female,29,1,0,S,3.2581349988203177
0,1,male,65,0,1,C,4.126814979201766
1,1,male,NA,0,0,S,3.5695608650987154
1,2,female,21,0,0,S,2.351470490723856
0,3,male,28.5,0,0,C,1.978266698305362
1,2,female,5,1,2,S,3.3232718755791972
0,3,male,11,5,2,S,3.8480389971865443
0,3,male,22,0,0,C,1.978266698305362
1,1,female,38,0,0,NA,4.3820391345957574
0,1,male,45,1,0,S,4.424559165392584
0,3,male,4,3,2,S,3.328662530478907
0,1,male,NA,0,0,C,3.3222191072784475
1,3,male,NA,1,1,C,2.724369644969179
1,2,female,29,0,0,S,2.351470490723856
0,3,male,19,0,0,S,2.0991583809826055
1,3,female,17,4,2,S,2.0701484947682434
0,3,male,26,2,0,S,2.1591187979687643
0,2,male,32,0,0,S,2.351470490723856
0,3,female,16,5,2,S,3.8480389971865443
0,2,male,21,0,0,S,4.297299011568414
0,3,male,26,1,0,C,2.671054211415484
1,3,male,32,0,0,S,4.034183999380309
0,3,male,25,0,0,S,2.034836358249715
0,3,male,NA,0,0,S,2.0664576141215414
0,3,male,NA,0,0,S,2.085796307317844
1,2,male,0.83,0,2,S,3.367330312150578
1,3,female,30,0,0,S,2.523806798745557
0,3,male,22,0,0,S,2.1973356822749484
1,3,male,29,0,0,S,2.2513970562246124
1,3,female,NA,0,0,Q,2.0526482867845237
0,1,male,28,0,0,S,3.852294232219494
1,2,female,17,0,0,S,2.351470490723856
1,3,female,33,3,0,S,2.7632325898157557
0,3,male,16,1,3,S,3.537358646472694
0,3,male,NA,0,0,S,2.085796307317844
1,1,female,23,3,2,S,5.572157834451905
0,3,male,24,0,0,S,2.085796307317844
0,3,male,29,0,0,S,2.085796307317844
0,3,male,20,0,0,S,2.061175732872943
0,1,male,46,1,0,S,4.113754955741924
0,3,male,26,1,2,S,3.024125348055209
0,3,male,59,0,0,S,1.9811393903894556
0,3,male,NA,0,0,S,2.085796307317844
0,1,male,71,0,0,C,3.5454477865262857
1,1,male,23,0,1,C,4.148821699465343
1,2,female,34,0,1,S,3.135537693244867
0,2,male,34,1,0,S,3.2581349988203177
0,3,female,28,0,0,S,2.0664576141215414
0,3,male,NA,0,0,S,2.0664576141215414
0,1,male,21,0,1,S,4.347545173503878
0,3,male,33,0,0,S,2.1581602963912263
0,3,male,37,2,0,S,2.0701484947682434
0,3,male,28,0,0,S,2.0664576141215414
1,3,female,21,0,0,S,2.034836358249715
1,3,male,NA,0,0,S,2.051042067158138
0,3,male,38,0,0,S,2.0664576141215414
1,3,female,NA,1,0,Q,3.1843257871087944
0,1,male,47,0,0,S,3.9512629491657494
0,3,female,14.5,1,0,C,2.671054211415484
0,3,male,22,0,0,S,2.085796307317844
0,3,female,20,1,0,S,2.285031933746456
0,3,female,17,0,0,C,2.6713378061535895
0,3,male,21,0,0,S,2.0701484947682434
0,3,male,70.5,0,0,Q,2.0478218672993744
0,2,male,29,1,0,S,3.0445700556372914
0,1,male,24,0,1,C,5.511498658937939
0,3,female,2,4,2,S,3.4428510302622675
0,2,male,21,2,0,S,4.297299011568414
0,3,male,NA,0,0,S,2.085796307317844
0,2,male,32.5,1,0,C,3.403587855534786
1,2,female,32.5,0,0,S,2.5650262775800314
0,1,male,54,0,1,S,4.347545173503878
1,3,male,12,1,0,C,2.4197190291420276
0,3,male,NA,0,0,Q,2.0478218672993744
1,3,male,24,0,0,S,1.9660908561308292
1,3,female,NA,1,1,C,3.1072423418934596
0,3,male,45,0,0,S,1.9424756866066786
0,3,male,33,0,0,C,2.0664576141215414
0,3,male,20,0,0,S,1.9531694507369035
0,3,female,47,1,0,S,2.674217612565758
1,2,female,29,1,0,S,3.2581349988203177
0,2,male,25,0,0,S,2.5650262775800314
0,2,male,23,0,0,C,2.7111653440023553
1,1,female,19,0,2,S,3.2689718027583403
0,1,male,37,1,0,S,3.9721957604622795
0,3,male,16,0,0,S,2.221125548748104
0,1,male,24,0,0,C,4.371988925003296
0,3,female,NA,0,2,C,2.724369644969179
1,3,female,22,0,0,S,2.0478218672993744
1,3,female,24,1,0,S,2.7632325898157557
0,3,male,19,0,0,Q,1.9096906420597335
0,2,male,18,0,0,S,2.4424339881104444
0,2,male,19,1,1,S,3.60416543617299
1,3,male,27,0,0,S,2.0537133931071048
0,3,female,9,2,2,S,3.537358646472694
0,2,male,36.5,0,2,S,3.2581349988203177
0,2,male,42,0,0,S,2.5650262775800314
0,2,male,51,0,0,S,2.527806484103221
1,1,female,22,1,0,S,4.198719592448635
0,3,male,55.5,0,0,S,2.085796307317844
0,3,male,40.5,0,2,S,2.674217612565758
0,3,male,NA,0,0,S,1.989721955345006
0,1,male,51,0,1,C,4.117087307576637
1,3,female,16,0,0,Q,2.0456649821923056
0,3,male,30,0,0,S,2.085796307317844
0,3,male,NA,0,0,S,2.1591187979687643
0,3,male,NA,8,2,S,4.2420602964113066
0,3,male,44,0,1,S,2.7788813818628015
1,2,female,40,0,0,S,2.756903855319598
0,3,male,26,0,0,S,2.051042067158138
0,3,male,17,0,0,S,2.1591187979687643
0,3,male,1,4,1,S,3.681061473185869
1,3,male,9,0,2,S,3.0216923752235227
1,1,female,NA,0,1,S,4.0073513668853655
0,3,female,45,1,4,S,3.328662530478907
0,1,male,NA,0,0,S,3.255246326177851
0,3,male,28,0,0,S,4.034183999380309
0,1,male,61,0,0,S,3.511575289131765
0,3,male,4,4,1,Q,3.3716312460603888
1,3,female,1,1,1,S,2.4100304338926613
0,3,male,21,0,0,S,2.0701484947682434
0,1,male,56,0,0,C,3.4241584146326685
0,3,male,18,1,1,S,2.061175732872943
0,3,male,NA,3,1,S,3.237410982597415
0,1,female,50,0,0,C,3.357367395445304
0,2,male,30,0,0,S,2.5650262775800314
0,3,male,36,0,0,S,-6.907755278982137
0,3,female,NA,8,2,S,4.2420602964113066
0,2,male,NA,0,0,C,2.7114444341702257
0,3,male,9,4,2,S,3.4464415837929963
1,2,male,1,2,1,S,3.6635872868265618
1,3,female,4,0,2,S,3.092223573742752
0,1,male,NA,0,0,S,3.9120430052281487
1,3,female,NA,1,0,Q,2.740904537973157
1,1,male,45,0,0,S,3.279067411762075
0,3,male,40,1,1,Q,2.740904537973157
0,3,male,36,0,0,S,2.0664576141215414
1,2,female,32,0,0,S,2.5650262775800314
0,2,male,19,0,0,S,2.5650262775800314
1,3,female,19,1,0,S,2.061175732872943
1,2,male,3,1,1,S,3.2581349988203177
1,1,female,44,0,0,C,3.3222191072784475
1,1,female,58,0,0,C,4.987174222847439
0,3,male,NA,0,0,Q,2.0478218672993744
0,3,male,42,0,1,S,2.1288505619373783
1,3,female,NA,0,0,Q,2.0478218672993744
0,2,female,24,0,0,S,2.5650262775800314
0,3,male,28,0,0,S,2.2513970562246124
0,3,male,NA,8,2,S,4.2420602964113066
0,3,male,34,0,0,S,1.871309747986064
0,3,male,45.5,0,0,C,1.9776856327254484
1,3,male,18,0,0,S,2.085796307317844
0,3,female,2,0,1,S,2.3478930106985874
0,3,male,32,1,0,S,2.7632325898157557
1,3,male,26,0,0,C,2.933244980542167
1,3,female,16,0,0,Q,2.0478218672993744
1,1,male,40,0,0,C,3.434019462029382
0,3,male,24,0,0,S,1.9531694507369035
1,2,female,35,0,0,S,3.0445700556372914
0,3,male,22,0,0,S,1.9811393903894556
0,2,male,30,0,0,S,2.5650262775800314
0,3,male,NA,1,0,Q,2.0478218672993744
1,1,female,31,1,0,C,4.729827318587508
1,3,female,27,0,0,S,2.0701484947682434
0,2,male,42,1,0,S,3.295873902355512
1,1,female,32,0,0,C,4.334577258746036
0,2,male,30,0,0,S,2.351470490723856
1,3,male,16,0,0,S,2.085796307317844
0,2,male,27,0,0,S,2.5650262775800314
0,3,male,51,0,0,S,2.085796307317844
0,3,male,NA,0,0,S,2.0664576141215414
1,1,male,38,1,0,S,4.499820781379649
0,3,male,22,0,0,S,2.2354832894533097
1,2,male,19,0,0,S,2.351470490723856
0,3,male,20.5,0,0,S,1.9811393903894556
0,2,male,18,0,0,S,2.5650262775800314
0,3,female,NA,3,1,S,3.237410982597415
1,1,female,35,1,0,S,4.424559165392584
0,3,male,29,0,0,S,2.051042067158138
0,2,male,59,0,0,S,2.602763756775109
1,3,female,5,4,2,S,3.4464415837929963
0,2,male,24,0,0,S,2.351470490723856
0,3,female,NA,0,0,S,2.0216800048212886
0,2,male,44,1,0,S,3.2581349988203177
1,2,female,8,0,2,S,3.267704083550123
0,2,male,19,0,0,S,2.351470490723856
0,2,male,33,0,0,S,2.5076461367574896
0,3,female,NA,1,0,C,2.671054211415484
1,3,female,NA,1,0,Q,2.740904537973157
0,2,male,29,0,0,S,2.351470490723856
0,3,male,22,0,0,S,1.9637500671836443
0,3,male,30,0,0,C,1.9776856327254484
0,1,male,44,2,0,Q,4.499820781379649
0,3,female,25,0,0,S,2.051042067158138
1,2,female,24,0,2,S,2.674217612565758
1,1,male,37,1,1,S,3.9618640458051333
0,2,male,54,1,0,S,3.2581349988203177
0,3,male,NA,0,0,S,1.9811393903894556
0,3,female,29,1,1,S,2.3478930106985874
0,1,male,62,0,0,S,3.279067411762075
0,3,male,30,1,0,S,2.7788813818628015
0,3,female,41,0,2,S,3.0063506980145993
1,3,female,29,0,2,C,2.724369644969179
1,1,female,NA,0,0,C,4.371988925003296
1,1,female,30,0,0,S,4.460155974564651
1,1,female,35,0,0,C,6.238969339041765
1,2,female,50,0,1,S,3.2581349988203177
0,3,male,NA,0,0,Q,2.0478218672993744
1,3,male,3,4,2,S,3.4464415837929963
0,1,male,52,1,1,S,4.377654591205054
0,1,male,40,0,0,S,-6.907755278982137
0,3,female,NA,0,0,Q,2.0478218672993744
0,2,male,36,0,0,S,2.351470490723856
0,3,male,16,4,1,S,3.681061473185869
1,3,male,25,1,0,S,2.051042067158138
1,1,female,58,0,1,S,5.033462753735626
1,1,female,35,0,0,S,4.9099622933723825
0,1,male,NA,0,0,S,3.434019462029382
1,3,male,25,0,0,S,-6.907755278982137
1,2,female,41,0,1,S,2.970465746306104
0,1,male,37,0,1,C,3.391180715275501
1,3,female,NA,0,0,Q,2.0478218672993744
1,1,female,63,1,0,S,4.356186895635478
0,3,female,45,0,0,S,2.0478218672993744
0,2,male,NA,0,0,S,-6.907755278982137
0,3,male,7,4,1,Q,3.3716312460603888
1,3,female,35,1,1,S,3.0082041750493116
0,3,male,65,0,0,Q,2.0478218672993744
0,3,male,28,0,0,S,2.061175732872943
0,3,male,16,0,0,S,2.2513970562246124
1,3,male,19,0,0,S,2.085796307317844
0,1,male,NA,0,0,S,3.2581349988203177
0,3,male,33,0,0,C,2.1591187979687643
1,3,male,30,0,0,S,2.2513970562246124
0,3,male,22,0,0,S,2.0664576141215414
1,2,male,42,0,0,S,2.5650262775800314
1,3,female,22,0,0,Q,2.0478218672993744
1,1,female,26,0,0,S,4.367559995636808
1,1,female,19,1,0,C,4.511740437064889
0,2,male,36,0,0,C,2.5553651134365616
0,3,female,24,0,0,S,2.1805304469867397
0,3,male,24,0,0,S,2.0664576141215414
0,1,male,NA,0,0,C,3.3222191072784475
0,3,male,23.5,0,0,C,1.978266698305362
0,1,female,2,1,2,S,5.0209222019643915
1,1,male,NA,0,0,S,3.4177594699611338
1,1,female,50,0,1,C,5.511498658937939
1,3,female,NA,0,0,Q,2.0478218672993744
1,3,male,NA,2,0,Q,3.1463481418611177
0,3,male,19,0,0,S,-6.907755278982137
1,2,female,NA,0,0,Q,2.5137370314558773
0,3,male,NA,0,0,S,2.085796307317844
1,1,male,0.92,1,2,S,5.0209222019643915
1,1,female,NA,0,0,C,4.708487315353423
1,1,female,17,1,0,C,4.690439212633209
0,2,male,30,1,0,C,3.178095496146581
1,1,female,30,0,0,C,4.041825956043066
1,1,female,24,0,0,C,4.420758045445967
1,1,female,18,2,2,C,5.569778589472267
0,2,female,26,1,1,S,3.2581349988203177
0,3,male,28,0,0,S,2.0664576141215414
0,2,male,43,1,1,S,3.267704083550123
1,3,female,26,0,0,S,2.061175732872943
1,2,female,24,1,0,S,3.2581349988203177
0,2,male,54,0,0,S,2.639128755635788
1,1,female,31,0,2,S,5.105143334090628
1,1,female,40,1,1,C,4.9015716339584925
0,3,male,22,0,0,S,1.9811393903894556
0,3,male,27,0,0,S,2.0664576141215414
1,2,female,30,0,0,Q,2.5137370314558773
1,2,female,22,1,1,S,3.367330312150578
0,3,male,NA,8,2,S,4.2420602964113066
1,1,female,36,0,0,C,4.9099622933723825
0,3,male,61,0,0,S,1.830739768868939
1,2,female,36,0,0,S,2.5650262775800314
1,3,female,31,1,1,S,3.0216923752235227
1,1,female,16,0,1,C,4.060101572952893
1,3,female,NA,2,0,Q,3.1463481418611177
0,1,male,45.5,0,0,S,3.3499391743783433
0,1,male,38,0,1,S,5.033462753735626
0,3,male,16,2,0,S,2.8904273119085677
1,1,female,NA,1,0,S,4.895231924786641
0,3,male,NA,0,0,S,2.0664576141215414
0,1,male,29,1,0,S,4.198719592448635
1,1,female,41,0,0,C,4.9015716339584925
1,3,male,45,0,0,S,2.085796307317844
0,1,male,45,0,0,S,3.5695608650987154
1,2,male,2,1,1,S,3.2581349988203177
1,1,female,24,3,2,S,5.572157834451905
0,2,male,28,0,0,S,2.5650262775800314
0,2,male,25,0,0,S,2.5650262775800314
0,2,male,36,0,0,S,2.5650262775800314
1,2,female,24,0,0,S,2.5650262775800314
1,2,female,40,0,0,S,2.5650262775800314
1,3,female,NA,1,0,S,2.7788813818628015
1,3,male,3,1,1,S,2.76638200033026
0,3,male,42,0,0,S,2.1591187979687643
0,3,male,23,0,0,S,2.2220255851356288
0,1,male,NA,0,0,S,3.5553766325098297
0,3,male,15,1,1,C,1.978266698305362
0,3,male,25,1,0,S,2.879254635495296
0,3,male,NA,0,0,C,1.9776856327254484
0,3,male,28,0,0,S,2.2513970562246124
1,1,female,22,0,1,S,4.0073513668853655
0,2,female,38,0,0,S,2.5650262775800314
1,3,female,NA,0,0,Q,2.0643532842583627
1,3,female,NA,0,0,Q,2.0643532842583627
0,3,male,40,1,4,S,3.328662530478907
0,2,male,29,1,0,C,3.3222191072784475
0,3,female,45,0,1,C,2.671054211415484
0,3,male,35,0,0,S,1.9531694507369035
0,3,male,NA,1,0,Q,2.740904537973157
0,3,male,30,0,0,S,1.9811393903894556
1,1,female,60,1,0,C,4.320829192577231
1,3,female,NA,0,0,C,1.978266698305362
1,3,female,NA,0,0,Q,2.0478218672993744
1,1,female,24,0,0,C,4.2384593361061755
1,1,male,25,1,0,C,4.015350054994479
0,3,male,18,1,0,S,1.871309747986064
0,3,male,19,0,0,S,2.085796307317844
0,1,male,22,0,0,C,4.9099622933723825
0,3,female,3,3,1,S,3.0481349523470396
1,1,female,NA,1,0,C,4.4088121775082065
1,3,female,22,0,0,S,1.9811393903894556
0,1,male,27,0,2,C,5.354229726607543
0,3,male,20,0,0,C,1.3896636785894947
0,3,male,19,0,0,S,2.051042067158138
1,1,female,42,0,0,C,5.427264517575177
1,3,female,1,0,2,C,2.7563767657625022
0,3,male,32,0,0,S,2.0701484947682434
1,1,female,35,1,0,S,3.9512629491657494
0,3,male,NA,0,0,S,2.0664576141215414
0,2,male,18,0,0,S,4.297299011568414
0,3,male,1,5,2,S,3.8480389971865443
1,2,female,36,0,0,S,2.5650262775800314
0,3,male,NA,0,0,Q,2.0451347354858407
1,2,female,17,0,0,C,2.4849899796493045
1,1,male,36,1,2,S,4.787500076080657
1,3,male,21,0,0,S,2.0537133931071048
0,3,male,28,2,0,S,2.0701484947682434
1,1,female,23,1,0,C,4.729827318587508
1,3,female,24,0,2,S,2.8154685978694802
0,3,male,22,0,0,S,2.0537133931071048
0,3,female,31,0,0,S,2.061175732872943
0,2,male,46,0,0,S,3.2581349988203177
0,2,male,23,0,0,S,2.351470490723856
1,2,female,28,0,0,S,2.5377362634325324
1,3,male,39,0,0,S,2.0701484947682434
0,3,male,26,0,0,S,2.085796307317844
0,3,female,21,1,0,S,2.285031933746456
0,3,male,28,1,0,S,2.7632325898157557
0,3,female,20,0,0,S,2.1591187979687643
0,2,male,34,1,0,S,3.0445700556372914
0,3,male,51,0,0,S,2.0478218672993744
1,2,male,3,1,1,S,2.9312470843275817
0,3,male,21,0,0,S,2.051042067158138
0,3,female,NA,3,1,S,3.237410982597415
0,3,male,NA,0,0,S,2.0664576141215414
0,3,male,NA,0,0,Q,1.925605395714949
1,1,female,33,1,0,Q,4.499820781379649
0,2,male,NA,0,0,S,-6.907755278982137
1,3,male,44,0,0,S,2.0701484947682434
0,3,female,NA,0,0,S,2.085796307317844
1,2,female,34,1,1,S,3.4812708580930978
1,2,female,18,0,2,S,2.5650262775800314
0,2,male,30,0,0,S,2.5650262775800314
0,3,female,10,0,2,S,3.1843257871087944
0,3,male,NA,0,0,C,2.0664576141215414
0,3,male,21,0,0,Q,2.0456649821923056
0,3,male,29,0,0,S,2.063820160776879
0,3,female,28,1,1,S,2.6672976486152455
0,3,male,18,1,1,S,3.0063506980145993
0,3,male,NA,0,0,S,1.9811393903894556
1,2,female,28,1,0,S,3.2581349988203177
1,2,female,19,0,0,S,3.2581349988203177
0,3,male,NA,0,0,Q,2.0478218672993744
1,3,male,32,0,0,S,2.085796307317844
1,1,male,28,0,0,S,3.279067411762075
1,3,female,NA,1,0,S,2.7788813818628015
1,2,female,42,1,0,S,3.2581349988203177
0,3,male,17,0,0,S,1.9637500671836443
0,1,male,50,1,0,S,4.023582269088702
1,1,female,14,1,2,S,4.787500076080657
0,3,female,21,2,2,S,3.537358646472694
1,2,female,24,2,3,S,2.9312470843275817
0,1,male,64,1,4,S,5.572157834451905
0,2,male,31,0,0,S,2.351470490723856
1,2,female,45,1,1,S,3.267704083550123
0,3,male,20,0,0,S,2.2513970562246124
0,3,male,25,1,0,S,2.051042067158138
